epoch,accuracy,loss,val_accuracy,val_loss
0,0.7229999899864197,0.7317571043968201,0.7124999761581421,0.647490382194519
1,0.8420000076293945,0.39472395181655884,0.8174999952316284,0.44836121797561646
2,0.8840000033378601,0.30468910932540894,0.8899999856948853,0.28538358211517334
3,0.8970000147819519,0.25479593873023987,0.8962500095367432,0.28595635294914246
4,0.9120000004768372,0.22174935042858124,0.9024999737739563,0.26018309593200684
5,0.9240000247955322,0.2114788442850113,0.9024999737739563,0.2763870358467102
6,0.9369999766349792,0.15999700129032135,0.8962500095367432,0.3106600046157837
7,0.949999988079071,0.1362670511007309,0.8737499713897705,0.4081254303455353
8,0.949999988079071,0.1142611876130104,0.90625,0.33781564235687256
9,0.9620000123977661,0.09735319763422012,0.8700000047683716,0.47880107164382935
